Lat,Long,ArcV,ArcL,DAZ,Crescent Width,MA,JD,Ele,Visibility,Lag_minutes
10.54,-61.38,5.68,9.24,7.3,12.55,16.82,2455507.4,19.8,0,26.0
-33.87,151.21,5.6,11.79,10.38,19.54,22.52,2457368.88,26.48,0,30.0
35.47,8.21,7.04,17.56,16.11,41.63,-37.47,2458990.67,1140.12,0,-36.0
48.14,11.58,6.36,13.1,11.46,25.58,24.13,2458668.31,518.06,1,46.0
23.34,40.32,6.69,8.01,4.41,8.82,17.41,2458874.13,903.17,1,33.0
10.62,10.03,6.42,7.62,4.11,8.48,13.43,2457161.24,544.52,0,28.0
10.62,10.03,6.42,7.62,4.11,8.48,13.43,2457161.24,544.52,0,28.0
-7.57,110.83,6.03,10.49,8.59,15.36,-21.01,2458045.43,89.91,0,-25.0
15.6,35.6,6.37,7.83,4.56,8.26,15.88,2445733.15,433.74,0,29.0
15.6,35.6,6.37,7.83,4.56,8.26,15.88,2445733.15,433.74,0,29.0
15.6,35.6,6.37,7.83,4.56,8.26,15.88,2445733.15,433.74,0,29.0
26.35,43.95,6.47,8.81,5.99,11.85,16.19,2456246.1,609.33,0,33.0
25.25,45.25,6.57,8.77,5.81,11.73,16.14,2456246.1,711.85,0,33.0
32.47,44.55,5.89,17.36,16.35,40.57,-37.91,1676931.78,26.45,1,-30.0
53.96,-1.08,5.86,12.26,10.78,21.73,-23.56,2455948.84,18.16,0,-52.0
34.02,-6.83,5.67,7.54,4.98,7.68,16.44,2459317.29,19.59,0,29.0
32.67,51.67,7.04,15.1,13.37,30.67,31.76,2456837.16,1575.56,0,37.0
32.09,35.18,6.55,16.14,14.76,35.91,-33.45,2458193.66,497.71,0,-33.0
48.14,11.58,6.46,9.37,6.79,13.1,15.73,2459081.27,518.06,1,41.0
48.14,11.58,6.46,9.37,6.79,13.1,15.73,2459081.27,518.06,1,41.0
32.47,44.55,5.62,17.65,16.75,42.72,35.87,1617991.26,26.45,1,31.0
-34.0,18.4,6.22,8.79,6.21,10.79,18.3,2453086.21,313.6,0,30.0
48.14,11.58,6.5,10.27,7.96,14.78,22.17,2455715.3,518.06,0,48.0
53.96,-1.08,5.67,9.15,7.18,11.52,20.19,2458166.22,18.16,1,44.0
10.55,-61.37,5.67,11.72,10.27,20.71,19.22,2455803.43,15.37,0,24.0
53.96,-1.08,5.78,16.04,14.98,34.61,-35.54,2456096.65,18.16,0,-49.0
31.9,51.87,7.21,15.07,13.25,30.56,31.72,2456837.16,1902.05,0,37.0
43.13,5.93,5.67,12.03,10.62,19.9,24.46,2456807.3,16.89,1,35.0
31.8,34.7,5.79,19.26,18.38,50.72,38.93,2448155.16,41.89,1,29.0
31.8,34.7,5.79,19.26,18.38,50.72,38.93,2448155.16,41.89,1,29.0
23.56,46.39,6.57,6.67,1.16,6.71,13.12,2447239.13,781.78,0,30.0
23.75,90.39,5.68,15.66,14.61,37.12,25.66,2455449.01,13.0,0,26.0
-33.99,18.46,5.89,10.11,8.22,15.46,17.4,2456630.24,63.33,0,32.0
-7.57,110.83,5.96,6.19,1.68,5.16,15.47,2459346.94,89.91,0,26.0
-7.57,110.83,5.96,6.19,1.68,5.16,15.47,2459346.94,89.91,0,26.0
32.22,-110.97,6.51,7.34,3.4,7.53,13.48,2455301.58,722.48,0,34.0
53.96,-1.08,5.79,10.99,9.34,16.91,23.42,2455715.35,18.16,0,51.0
48.14,11.58,6.41,8.66,5.83,11.36,15.09,2456630.15,518.06,1,49.0
23.34,40.32,6.65,6.67,0.4,6.27,15.03,2457782.13,903.17,1,32.0
33.59,-7.12,6.16,8.14,5.33,8.96,18.07,2457663.26,266.8,0,31.0
24.23,55.75,6.18,6.25,0.86,5.84,10.08,2458785.07,274.98,1,29.0
2.45,101.86,5.59,5.67,0.95,4.51,13.04,2456954.96,24.98,0,24.0
27.36,62.3,6.83,10.35,7.78,14.36,22.93,2456453.12,1165.82,0,35.0
46.28,19.49,5.96,13.84,12.51,29.15,22.66,2457900.27,131.0,0,40.0
24.6,46.45,6.6,8.72,5.7,11.61,16.08,2456246.09,775.73,0,33.0
4.91,114.79,5.7,6.47,3.06,5.91,11.7,2458608.94,31.03,0,25.0
43.3,-79.9,6.12,9.33,7.06,12.36,18.02,2451610.47,141.52,0,35.0
43.3,-79.9,6.12,9.33,7.06,12.36,18.02,2451610.47,141.52,0,35.0
36.6,59.0,7.17,11.76,9.33,19.7,23.84,2453264.1,1608.28,1,36.0
4.91,114.79,5.82,9.11,7.01,12.25,15.97,2455773.94,31.03,0,24.0
26.28,43.87,6.47,8.81,5.98,11.85,16.2,2456246.1,636.26,0,33.0
48.14,11.58,6.62,13.62,11.92,28.14,-23.48,2458311.64,518.06,1,-47.0
2.45,101.86,5.79,8.79,6.62,11.77,13.81,2456688.98,24.98,0,24.0
24.99,46.21,6.64,7.53,3.55,7.62,17.74,2458520.12,798.02,0,32.0
32.7,52.3,7.1,10.29,7.45,15.35,18.64,2450576.14,1629.15,1,37.0
32.6,51.7,7.24,9.1,5.51,11.22,19.8,2452378.13,1651.72,0,36.0
32.7,52.3,7.1,10.29,7.45,15.35,18.64,2450576.14,1629.15,1,37.0
32.6,51.7,7.24,9.1,5.51,11.22,19.8,2452378.13,1651.72,0,36.0
41.8,-112.0,7.02,12.43,10.26,23.13,22.29,2452909.56,1397.13,1,39.0
2.45,101.86,5.66,6.08,2.23,5.6,10.68,2456629.96,24.98,0,26.0
26.33,43.97,6.45,16.64,15.35,42.02,27.84,2455833.13,602.36,0,31.0
2.3,102.08,5.59,5.66,0.94,4.5,13.02,2456954.96,9.07,0,24.0
26.44,50.1,5.75,7.37,4.6,7.61,16.12,2456955.09,5.58,0,27.0
-7.57,110.83,6.06,9.06,6.74,11.14,-19.69,2457337.42,89.91,1,-26.0
-7.57,110.83,6.06,9.06,6.74,11.14,-19.69,2457337.42,89.91,0,-26.0
31.9,51.87,7.28,11.4,8.78,19.68,20.09,2458284.16,1902.05,1,39.0
32.4,-111.0,6.7,13.79,12.07,28.91,22.94,2453352.52,801.59,1,41.0
2.45,101.86,5.64,5.68,0.65,4.93,10.95,2453794.98,24.98,0,24.0
24.38,38.97,7.08,7.35,1.98,7.82,13.5,2457398.13,1439.96,1,34.0
-34.0,18.4,6.3,13.46,11.91,26.33,25.13,2450813.25,313.6,1,33.0
23.59,58.38,5.62,5.92,1.85,4.72,14.96,2456069.12,9.15,0,28.0
32.47,44.55,5.85,16.97,15.95,42.93,29.64,1624901.28,26.45,1,29.0
37.23,-80.41,6.66,6.99,2.12,6.56,15.7,2458106.43,634.3,0,39.0
30.5,47.81,5.64,7.74,5.3,8.22,16.61,2458874.1,6.05,0,30.0
32.6,51.7,7.44,11.73,9.08,18.5,-27.02,2452789.56,1651.72,0,-39.0
28.4,36.73,6.72,7.68,3.71,9.0,11.7,2448007.17,785.47,0,35.0
25.07,67.2,5.93,16.55,15.47,41.42,27.23,2455449.07,101.01,0,28.0
23.59,58.38,5.64,13.2,11.95,24.43,26.73,2456542.1,9.15,1,26.0
31.95,35.92,6.81,15.74,14.2,33.31,33.62,2456483.2,820.71,1,34.0
31.95,35.92,6.81,15.74,14.2,33.31,33.62,2456483.2,820.71,1,34.0
33.32,-2.42,6.97,8.98,5.66,12.23,16.08,2458697.3,1190.16,0,37.0
-33.87,151.21,5.92,8.01,5.41,9.59,13.71,2458371.82,26.48,0,30.0
37.23,-80.41,6.68,11.28,9.1,18.48,20.3,2457161.52,634.3,0,37.0
15.6,35.6,6.43,8.32,5.29,10.26,16.18,2446028.13,335.0,0,30.0
4.89,114.94,5.82,9.1,7.0,12.23,15.96,2455773.94,8.09,0,24.0
32.67,51.67,7.17,11.42,8.9,19.78,20.13,2458284.16,1575.56,1,39.0
29.35,47.96,5.77,7.74,5.16,8.23,16.64,2458874.1,3.82,0,30.0
15.6,35.6,6.43,8.32,5.29,10.26,16.18,2446028.13,433.74,0,31.0
15.6,35.6,6.43,8.32,5.29,10.26,16.18,2446028.13,433.74,0,31.0
-34.0,18.4,6.36,10.29,8.1,14.34,23.86,2451551.25,313.6,1,34.0
15.6,35.6,6.43,8.32,5.29,10.26,16.18,2446028.13,433.74,0,31.0
21.42,39.83,6.28,6.73,2.43,6.79,12.13,2452909.14,325.21,0,28.0
32.22,-110.97,6.68,7.64,3.71,8.62,15.37,2455360.61,722.48,0,37.0
32.67,51.67,7.16,17.84,16.36,44.6,35.4,2456129.16,1575.56,1,36.0
-7.57,110.83,6.28,7.93,4.84,9.59,-12.87,2456658.43,89.91,0,-28.0
31.95,35.92,6.79,10.77,8.37,15.97,22.02,2456807.2,820.71,0,36.0
48.14,11.58,6.69,16.52,15.12,41.4,-28.37,2457100.72,518.06,1,-42.0
30.4,35.5,7.35,8.99,5.18,11.39,17.93,2451432.17,1665.1,1,35.0
30.4,35.5,7.35,8.99,5.18,11.39,17.93,2451432.17,1665.1,1,35.0
-7.97,111.5,6.03,6.03,0.18,5.01,13.35,2458873.96,141.76,0,27.0
29.6,52.5,7.25,8.51,4.44,9.76,20.41,2451905.07,1544.25,0,39.0
29.6,52.5,7.25,8.51,4.44,9.76,20.41,2451905.07,1544.25,0,39.0
34.08,-117.25,6.35,18.15,17.02,48.6,32.25,2455774.62,328.94,1,32.0
37.23,-80.41,6.59,10.04,7.58,13.59,22.79,2457309.45,634.3,0,35.0
30.4,35.5,7.24,8.16,3.77,9.31,17.27,2453086.17,1665.1,1,35.0
30.4,35.5,7.24,8.16,3.77,9.31,17.27,2453086.17,1665.1,0,35.0
2.45,101.86,5.96,5.98,0.55,4.81,14.41,2458519.98,24.98,0,25.0
15.6,35.6,6.36,7.83,4.57,8.25,15.87,2445733.15,335.0,0,29.0
30.68,-104.02,7.45,7.45,0.02,7.8,13.58,2457368.5,1954.67,0,39.0
34.36,-2.96,6.53,9.63,7.09,13.49,16.86,2458225.28,487.77,0,34.0
29.35,47.96,5.84,6.84,3.57,7.11,12.49,2458697.15,3.82,0,29.0
13.06,5.32,6.4,6.42,0.55,5.58,16.02,2458490.23,272.28,0,29.0
32.47,44.55,5.82,17.76,16.8,45.91,32.19,1599653.33,26.45,1,29.0
21.42,39.83,6.3,6.32,0.46,5.37,12.94,2453588.17,325.21,0,30.0
32.6,44.4,5.81,16.98,15.97,42.94,29.65,1624901.28,15.0,1,29.0
35.61,10.79,6.07,10.06,8.03,15.43,18.07,2456246.18,78.74,0,35.0
32.04,44.33,6.03,8.89,6.54,11.19,17.03,2458609.16,40.43,0,30.0
35.38,5.37,6.51,16.73,15.43,37.61,35.78,2456483.29,477.85,0,34.0
5.59,-0.23,5.85,9.5,7.49,12.1,19.63,2456866.26,29.21,0,25.0
26.33,43.97,6.7,6.76,0.94,6.94,13.33,2457457.14,602.36,0,31.0
53.96,-1.08,5.9,9.39,7.31,12.17,19.3,2459406.36,18.16,0,53.0
31.3,34.6,6.24,19.12,18.09,48.72,41.71,2447801.15,136.03,1,31.0
32.7,52.3,7.34,8.11,3.45,8.9,19.58,2451551.08,1629.15,1,40.0
31.3,34.6,6.24,19.12,18.09,48.72,41.71,2447801.15,136.03,1,31.0
32.7,52.3,7.34,8.11,3.45,8.9,19.58,2451551.08,1629.15,1,40.0
-7.57,110.83,6.06,7.95,5.14,9.23,15.98,2456747.95,89.91,0,26.0
-37.81,144.96,5.93,6.42,2.45,6.25,11.41,2458283.8,9.03,0,35.0
35.34,5.73,6.82,7.8,3.79,9.09,13.24,2458785.2,859.3,0,36.0
32.67,51.67,7.41,14.68,12.68,29.52,32.34,2456926.11,1575.56,1,36.0
35.07,3.03,7.09,17.38,15.89,40.78,-37.09,2458990.69,888.29,1,-37.0
32.4,-111.0,6.82,8.22,4.59,10.32,13.84,2452554.55,801.59,1,34.0
32.0,35.9,7.02,7.66,3.06,8.12,15.03,2453234.19,1006.35,1,35.0
32.0,35.9,7.02,7.66,3.06,8.12,15.03,2453234.19,1006.35,1,35.0
32.67,51.67,7.4,20.27,18.89,60.57,36.56,2456188.11,1575.56,1,37.0
32.67,51.67,7.37,7.38,0.29,8.08,12.08,2457014.07,1575.56,0,40.0
32.67,51.67,7.37,7.38,0.29,8.08,12.08,2457014.07,1575.56,0,40.0
6.94,79.85,5.85,7.83,5.22,8.69,16.25,2457604.04,11.3,0,25.0
6.94,79.85,5.85,7.83,5.22,8.69,16.25,2457604.04,11.3,0,25.0
24.23,55.75,6.43,6.46,0.66,6.1,10.21,2458401.08,274.98,1,29.0
11.2,7.6,6.76,9.53,6.72,13.83,15.73,2453352.22,673.42,0,33.0
10.3,9.8,6.81,9.45,6.56,13.62,15.6,2453352.21,620.05,0,33.0
11.2,7.6,6.76,9.53,6.72,13.83,15.73,2453352.22,673.42,0,33.0
10.3,9.8,6.81,9.45,6.56,13.62,15.6,2453352.21,620.05,0,33.0
30.5,47.81,5.78,6.88,3.72,7.18,12.53,2458697.16,6.05,1,30.0
-33.93,18.42,5.96,6.62,2.88,5.92,13.81,2458963.18,30.49,0,30.0
10.55,-61.37,5.8,5.88,1.0,4.66,14.86,2455212.42,15.37,0,26.0
23.75,90.39,5.78,14.86,13.7,33.56,24.69,2455832.99,13.0,0,27.0
25.07,67.2,6.12,15.74,14.52,37.64,26.25,2455833.06,101.01,0,29.0
36.54,32.0,5.83,15.4,14.27,35.73,27.2,2456217.14,10.18,0,33.0
31.9,51.87,7.41,10.17,6.97,14.5,19.32,2459258.1,1902.05,1,39.0
31.9,51.87,7.5,8.48,3.96,9.65,20.5,2459347.15,1902.05,0,40.0
30.2,35.5,7.43,8.23,3.54,10.35,13.46,2452141.18,1597.02,1,36.0
-34.0,18.4,6.43,6.86,2.39,7.02,13.56,2451373.17,313.6,0,36.0
-34.0,18.4,6.43,6.86,2.39,7.02,13.56,2451373.17,313.6,0,36.0
30.2,35.5,7.43,8.23,3.54,10.35,13.46,2452141.18,1597.02,1,36.0
37.2,-84.1,6.52,6.64,1.28,6.51,12.27,2447268.51,305.0,1,36.0
49.6,8.74,6.36,10.41,8.26,15.2,22.42,2455715.31,161.91,0,48.0
23.59,58.38,5.78,7.08,4.1,7.04,15.62,2456955.07,9.15,1,27.0
37.2,-84.1,6.52,6.64,1.28,6.51,12.28,2447268.51,358.42,0,36.0
31.9,35.8,6.86,10.04,7.34,15.24,18.25,2452584.12,677.68,1,36.0
37.2,-84.1,6.52,6.64,1.28,6.51,12.28,2447268.51,358.42,0,36.0
31.9,35.8,6.86,10.04,7.34,15.24,18.25,2452584.12,677.68,1,36.0
37.2,-84.1,6.52,6.64,1.28,6.51,12.28,2447268.51,358.42,0,36.0
27.97,-82.8,5.79,16.68,15.66,41.45,28.42,2455478.47,9.63,1,29.0
32.49,3.68,6.63,7.66,3.83,7.94,18.16,2456423.28,494.82,0,35.0
-33.93,18.42,5.92,18.94,18.01,51.65,34.4,2456335.24,30.49,0,30.0
20.25,-9.24,6.53,9.91,7.46,14.65,16.32,2457545.31,394.92,1,31.0
-33.87,151.21,5.89,8.71,6.43,11.54,13.51,2458755.83,26.48,0,30.0
-34.0,18.4,6.52,10.36,8.06,16.31,17.91,2449690.24,313.6,0,35.0
36.72,10.34,6.36,17.49,16.31,40.93,-38.77,2459344.68,89.47,1,-33.0
31.9,35.8,6.91,7.84,3.69,8.73,17.03,2452437.2,677.68,0,38.0
32.6,51.6,7.37,8.77,4.76,10.36,19.72,2452732.13,1712.73,0,37.0
31.9,35.8,6.91,7.84,3.69,8.73,17.03,2452437.2,677.68,0,38.0
32.6,51.6,7.37,8.77,4.76,10.36,19.72,2452732.13,1712.73,0,37.0
27.36,62.3,7.36,10.15,6.99,13.93,-20.67,2456510.55,1165.82,0,-36.0
42.38,-72.03,6.39,7.74,4.37,9.1,11.94,2459110.46,249.47,0,36.0
32.5,51.7,7.6,12.01,9.31,19.52,-27.46,2453143.56,1585.92,1,-39.0
-34.0,18.4,6.43,6.72,1.94,6.6,14.24,2453293.21,313.6,0,34.0
24.6,46.45,6.85,16.53,15.06,41.47,27.69,2455833.12,775.73,1,33.0
31.75,54.22,7.38,17.73,16.14,44.05,35.19,2456129.15,1514.23,1,36.0
23.75,90.39,5.83,7.48,4.7,7.77,13.39,2455980.0,13.0,0,27.0
31.95,35.92,6.98,11.96,9.72,19.57,25.82,2456099.2,820.71,0,36.0
31.9,51.87,7.63,12.14,9.44,22.44,19.91,2457900.15,1902.05,1,40.0
37.23,-80.41,6.77,8.23,4.69,10.34,13.36,2458726.5,634.3,0,-1404.0
33.4,6.83,6.3,11.75,9.93,20.26,-22.42,2459226.78,71.78,0,-38.0
43.86,18.42,6.82,9.0,5.87,12.08,15.12,2459081.24,536.1,0,40.0
48.14,11.58,6.82,8.09,4.36,9.93,15.36,2457457.22,518.06,1,43.0
32.9,13.18,5.81,7.5,4.75,7.62,16.68,2457663.2,4.2,0,29.0
27.7,-11.3,6.33,8.39,5.51,9.45,16.88,2452348.29,156.09,0,30.0
32.5,3.7,6.69,10.88,8.59,17.05,20.57,2452643.21,517.18,1,39.0
27.7,-11.3,6.33,8.39,5.51,9.45,16.88,2452348.29,156.09,0,30.0
32.5,3.7,6.69,10.88,8.59,17.05,20.57,2452643.21,517.18,1,39.0
2.45,101.86,6.0,7.17,3.93,6.9,14.93,2453174.97,24.98,0,28.0
35.6,-83.5,7.44,7.46,0.53,8.24,14.65,2447948.48,1524.0,1,-1402.0
35.6,-83.5,7.44,7.46,0.53,8.24,14.65,2447948.48,1524.0,1,-1402.0
35.6,-83.5,7.44,7.46,0.53,8.24,14.65,2447948.48,1524.0,1,-1402.0
33.9,35.48,6.12,11.81,10.11,21.02,21.2,2455390.2,64.71,0,32.0
48.81,9.16,6.47,10.36,8.1,15.04,22.36,2455715.31,278.78,0,49.0
37.23,-80.41,6.8,7.58,3.33,8.76,13.49,2456275.42,634.3,0,41.0
33.3,50.1,7.84,12.02,9.13,20.58,24.44,2453264.12,2674.02,1,38.0
33.3,50.1,7.84,12.02,9.13,20.58,24.44,2453264.12,2674.02,1,38.0
-33.93,18.42,6.08,6.29,1.6,5.53,11.59,2456128.17,30.49,0,33.0
21.42,39.83,6.56,13.76,12.11,26.55,27.99,2456542.15,298.57,0,29.0
24.47,39.61,7.11,7.11,0.31,7.28,-14.89,2459050.61,603.61,0,-35.0
36.21,44.11,6.98,18.51,17.17,45.83,-41.05,2459344.58,545.7,1,-36.0
26.6,50.0,5.78,6.4,2.74,6.13,11.4,2452909.11,2.75,0,27.0
-34.0,18.4,6.53,15.53,14.11,36.67,26.72,2450488.24,313.6,1,33.0
26.6,50.0,5.78,6.4,2.74,6.13,11.4,2452909.11,2.75,0,27.0
37.48,57.33,7.23,18.44,16.98,46.29,38.23,2457221.15,1063.38,1,38.0
37.48,57.33,7.23,18.44,16.98,46.29,38.23,2457221.15,1063.38,1,38.0
53.96,-1.08,6.11,7.56,4.45,8.05,16.53,2457782.19,18.16,0,50.0
48.14,11.58,6.94,6.98,0.72,6.79,-13.64,2458045.73,518.06,1,-44.0
34.36,-2.96,6.69,9.27,6.44,11.8,19.95,2458874.24,487.77,0,38.0
-33.9,18.4,5.91,7.82,5.12,9.34,13.56,2450901.2,0.93,0,29.0
35.6,51.3,7.37,19.94,18.55,60.03,-33.97,2450928.57,1087.2,1,-37.0
32.47,44.55,6.31,10.79,8.77,16.14,-21.39,1672089.8,26.45,1,-37.0
32.47,51.8,7.61,12.01,9.3,19.52,-27.46,2453143.56,1598.73,1,-39.0
32.29,-111.05,6.99,8.98,5.64,11.68,17.82,2452229.52,703.51,0,37.0
12.83,44.69,5.98,6.02,0.72,4.92,14.84,2456423.14,31.96,0,27.0
32.47,44.55,6.28,12.67,11.02,24.43,-22.26,1584501.83,26.45,1,-34.0
22.36,57.52,6.47,7.19,3.15,6.95,17.0,2458520.09,279.41,1,31.0
34.64,50.88,7.02,10.19,7.39,14.56,19.29,2459258.1,934.54,1,38.0
31.8,34.7,6.06,6.1,0.69,5.03,10.91,2451491.12,41.89,0,31.0
31.8,34.7,6.06,6.1,0.69,5.03,10.91,2451491.12,41.89,0,31.0
-6.76,39.24,6.06,8.27,5.64,9.18,16.71,2456866.14,12.96,0,26.0
24.64,46.72,6.88,6.95,1.02,6.68,14.56,2459406.16,584.98,0,35.0
-4.05,39.67,6.05,6.85,3.22,6.48,14.13,2459406.14,18.79,0,28.0
37.23,-80.41,6.91,7.97,3.99,9.66,12.5,2459110.48,634.3,0,-1404.0
-34.0,18.4,6.62,17.38,16.09,45.48,29.2,2450104.25,313.6,1,34.0
-44.0,170.5,7.26,9.68,6.41,14.24,17.67,2441864.72,1189.0,1,51.0
32.49,3.68,6.83,7.06,1.79,6.78,14.89,2455596.23,494.82,0,35.0
27.36,62.3,7.36,14.84,12.9,29.63,31.7,2456483.12,1165.82,0,35.0
10.62,10.03,7.08,7.27,1.65,7.32,-16.85,2456953.71,544.52,0,-30.0
2.14,102.43,5.94,5.96,0.52,4.78,14.37,2458519.98,4.34,0,26.0
-7.57,110.83,6.23,6.4,1.49,5.8,11.74,2458608.94,89.91,0,27.0
35.4,0.24,6.96,17.29,15.85,40.38,-36.89,2458990.7,503.69,0,-36.0
35.4,0.24,6.96,17.29,15.85,40.38,-36.89,2458990.7,503.69,1,-36.0
2.45,101.86,5.98,6.07,1.03,5.16,14.27,2455714.97,24.98,0,28.0
34.0,-84.0,6.67,12.68,10.79,23.67,23.59,2446028.44,309.54,1,39.0
29.16,36.08,6.91,11.64,9.38,20.42,21.04,2455390.2,718.04,0,35.0
35.61,10.79,6.24,7.49,4.15,7.61,17.74,2456423.26,78.74,0,34.0
26.33,43.97,6.94,7.16,1.74,7.41,13.06,2457398.11,602.36,0,34.0
-33.9,18.4,5.97,7.61,4.71,8.66,13.6,2452909.2,0.93,0,30.0
32.49,3.68,6.79,7.82,3.88,8.24,18.98,2456069.28,494.82,0,37.0
31.9,51.87,7.58,14.66,12.57,29.45,32.34,2456926.11,1902.05,1,38.0
31.9,51.87,7.58,14.66,12.57,29.45,32.34,2456926.11,1902.05,1,38.0
27.71,85.32,7.34,8.65,4.58,10.32,19.56,2458993.05,1295.07,0,37.0
2.45,101.86,6.05,6.23,1.5,5.34,13.73,2458873.98,24.98,0,27.0
2.45,101.86,6.01,6.03,0.46,5.09,12.71,2453085.98,24.98,0,25.0
26.35,43.95,7.02,17.46,16.0,43.05,33.07,2455124.11,609.33,1,35.0
-33.93,18.42,6.18,6.88,3.04,7.24,13.13,2458313.16,30.49,0,35.0
21.3,57.1,6.3,7.49,4.05,7.71,16.28,2458874.08,130.88,1,31.0
59.28,10.47,6.19,13.44,11.94,26.36,24.01,2451640.26,28.61,0,52.0
59.91,10.75,6.06,6.33,1.82,5.44,13.1,2455596.15,4.07,0,58.0
51.44,5.47,6.14,10.6,8.65,15.74,22.75,2455715.33,19.36,0,50.0
35.98,3.01,7.14,8.06,3.73,9.46,13.66,2458401.23,835.4,0,36.0
35.2,-111.7,8.09,9.43,4.85,13.59,-16.0,2443901.1,2235.99,1,-44.0
2.45,101.86,6.08,6.09,0.39,5.1,14.39,2458165.98,24.98,0,26.0
8.5,4.55,6.75,7.74,3.81,8.75,13.73,2457161.25,317.58,0,29.0
33.32,-2.42,7.41,10.33,7.21,15.12,20.28,2458609.29,1190.16,0,38.0
8.5,4.55,6.72,6.95,1.76,6.51,15.39,2459317.25,317.58,0,28.0
33.3,50.1,8.0,14.22,11.77,30.67,25.24,2452939.09,2674.02,1,42.0
33.3,50.1,8.0,14.22,11.77,30.67,25.24,2452939.09,2674.02,1,42.0
59.93,10.75,6.2,16.38,15.18,35.97,35.2,2451492.13,33.88,1,67.0
59.93,10.75,6.2,16.38,15.18,35.97,35.2,2451492.13,33.88,1,67.0
34.56,8.65,6.81,7.7,3.59,8.85,13.04,2458785.2,462.0,0,35.0
32.47,44.55,6.46,11.27,9.25,19.18,-18.94,1682897.71,26.45,1,-34.0
30.2,35.5,7.62,9.02,4.83,10.97,21.53,2451905.12,1597.02,1,41.0
29.6,52.5,7.48,9.02,5.06,11.04,19.69,2452378.13,1544.25,0,36.0
30.2,35.5,7.62,9.02,4.83,10.97,21.53,2451905.12,1597.02,1,41.0
29.6,52.5,7.48,9.02,5.06,11.04,19.69,2452378.13,1544.25,0,36.0
-7.57,110.83,6.34,6.36,0.48,6.19,12.47,2456245.94,89.91,0,28.0
32.49,21.71,7.07,11.67,9.3,18.26,25.82,2456453.24,668.67,1,37.0
32.49,21.71,7.07,11.67,9.3,18.26,25.82,2456453.24,668.67,1,37.0
19.21,-96.19,6.24,13.2,11.65,23.83,27.13,2456512.54,27.75,1,27.0
54.23,-1.34,6.25,14.71,13.33,32.66,24.37,2457516.33,37.58,0,49.0
32.0,51.4,8.17,8.77,3.2,11.1,-15.49,2452878.58,2352.05,0,-42.0
31.75,54.22,7.56,8.34,3.51,9.63,15.8,2455980.1,1514.23,1,37.0
6.06,80.22,6.17,6.37,1.62,5.7,14.42,2456955.02,6.09,0,26.0
48.14,11.58,7.07,7.66,2.96,7.88,-18.72,2457307.72,518.06,1,-45.0
33.32,-2.42,7.31,8.94,5.16,10.74,20.81,2458520.25,1190.16,0,39.0
32.47,44.55,6.3,7.85,4.68,8.87,-14.96,1600064.79,26.45,1,-32.0
35.7,51.4,7.42,12.0,9.43,20.49,24.32,2453264.12,1194.78,0,37.0
35.7,51.4,7.42,12.0,9.43,20.49,24.32,2453264.12,1194.78,0,37.0
37.23,-80.41,7.04,7.27,1.82,8.05,14.04,2457102.49,634.3,0,-1403.0
37.23,-80.41,7.08,10.4,7.63,14.61,22.96,2457663.47,634.3,0,36.0
2.45,101.86,6.19,8.58,5.95,11.22,15.05,2455861.96,24.98,0,27.0
31.77,35.18,7.15,13.22,11.13,24.51,27.06,2451019.2,797.7,0,36.0
31.77,35.18,7.15,13.22,11.13,24.51,27.06,2451019.2,797.7,0,36.0
31.77,35.18,7.15,13.22,11.13,24.51,27.06,2451019.2,797.7,0,36.0
31.77,35.18,7.15,13.22,11.13,24.51,27.06,2451019.2,797.7,0,36.0
31.77,35.18,7.15,13.22,11.13,24.51,27.06,2451019.2,797.7,0,36.0
2.46,101.85,6.18,8.58,5.95,11.22,15.04,2455861.96,9.29,0,27.0
31.9,51.87,7.8,11.41,8.34,19.32,21.38,2459199.07,1902.05,1,45.0
32.5,51.8,7.81,8.38,3.03,9.42,-19.17,2453173.55,1550.69,0,-44.0
-39.64,-72.32,6.57,17.25,15.96,39.72,38.91,2456040.43,231.1,0,40.0
10.38,7.85,7.21,8.66,4.8,10.09,-17.49,2456864.72,657.99,1,-32.0
31.9,51.87,7.71,13.97,11.66,26.12,32.13,2457280.12,1902.05,1,38.0
30.5,47.81,6.09,7.44,4.29,7.44,17.42,2458520.1,6.05,1,31.0
30.5,47.81,6.08,8.74,6.29,10.82,16.74,2458609.15,6.05,1,31.0
8.5,4.55,6.78,7.22,2.49,7.06,15.47,2458963.25,317.58,0,29.0
35.6,-83.5,7.44,7.45,0.52,8.22,14.63,2447948.48,1185.77,1,-1402.0
35.6,-83.5,7.44,7.45,0.52,8.22,14.63,2447948.48,1185.77,1,-1402.0
-44.0,171.0,7.23,9.65,6.41,14.16,17.61,2441864.72,860.71,1,51.0
35.6,-83.5,7.44,7.45,0.52,8.22,14.63,2447948.48,1185.77,1,-1402.0
35.6,-83.5,7.44,7.45,0.52,8.22,14.63,2447948.48,1185.77,1,-1402.0
35.6,-83.5,7.44,7.45,0.52,8.22,14.63,2447948.48,1185.77,0,-1402.0
35.6,-83.5,7.44,7.45,0.52,8.22,14.63,2447948.48,1185.77,1,-1402.0
35.6,-83.5,7.44,7.45,0.52,8.22,14.63,2447948.48,1185.77,1,-1402.0
35.6,-83.5,7.44,7.45,0.52,8.22,14.63,2447948.48,1185.77,0,-1402.0
